,score,text,token_review
0,0, 와  난 중학교 다닐 때 그냥 코 찔 찔에  아무 생각 없이 책가방 매고 왔다 갔다 인생 이었던 거 같은데  어찌 저런 생각  참  내 부끄러워진다  ,"['와', '난', '중학교', '다닐', '때', '그냥', '코', '찔', '찔에', '아무', '생각', '없이', '책가방', '매고', '왔다', '갔다', '인생', '이었던', '거', '같은데', '어찌', '저런', '생각', '참', '내', '부끄러워진다']"
1,0, 내 인생 드라마 장군 아들 야인시대 인데 일 재 분 출연 했음 너무 잘생기고 연기 엄청 잘 하신 분 인데  호전 됐다니 팬 으로서 기쁘고요 앞 꽃길 걸으세요  ,"['내', '인생', '드라마', '장군', '아들', '야인시대', '인데', '일', '재', '분', '출연', '했음', '너무', '잘생기고', '연기', '엄청', '잘', '하신', '분', '인데', '호전', '됐다니', '팬', '으로서', '기쁘고요', '앞', '꽃길', '걸으세요']"
2,0, 저런 딸 둬서 행복하겠어요 ,"['저런', '딸', '둬서', '행복하겠어요']"
3,0, 너무 착해  건강하고 행복한 가족 되세요 응원 합니다  ,"['너무', '착해', '건강하고', '행복한', '가족', '되세요', '응원', '합니다']"
4,1, 지저분하게 답지 않게 사는 인간 참 많구나 ,"['지저분하게', '답지', '않게', '사는', '인간', '참', '많구나']"
5,1, 개 쓰레기 ,"['개', '쓰레기']"
6,1, 그만해라 좀  유명인 이라고 민사소송 급 되는 짜질 구리 일 죄다 누명 씌우네  ㅉㅉ 미개한 ,"['그만해라', '좀', '유명인', '이라고', '민사소송', '급', '되는', '짜질', '구리', '일', '죄다', '누명', '씌우네', 'ㅉㅉ', '미개한']"
7,1, 헐  정말 양 아치 네 ,"['헐', '정말', '양', '아치', '네']"
8,0, 이종석 연기 대단하다  물이 오를 대로 오른 최고 연기 보여주네  ㅋ ,"['이종석', '연기', '대단하다', '물이', '오를', '대로', '오른', '최고', '연기', '보여주네', 'ㅋ']"
9,0, 이종석 은근 이런 옛날 느낌 물씬 시대 배경 역할 잘 어울림 소화도 잘 내레이션 에서의 목소리 너무 좋았음 ,"['이종석', '은근', '이런', '옛날', '느낌', '물씬', '시대', '배경', '역할', '잘', '어울림', '소화도', '잘', '내레이션', '에서의', '목소리', '너무', '좋았음']"
10,0, 영화 같은 영상 미도 좋고  솔직히 오늘 끝나기에는 이종석 열연 좀 아깝다 ,"['영화', '같은', '영상', '미도', '좋고', '솔직히', '오늘', '끝나기에는', '이종석', '열연', '좀', '아깝다']"
11,0, 신혜선 너무 이쁘다 이종석 존 잘 탱 ,"['신혜선', '너무', '이쁘다', '이종석', '존', '잘', '탱']"
12,0, 이종석 비주 얼 처 연한 표정 ㅠㅠ 넘 나잘해 ㅠㅠ ,"['이종석', '비주', '얼', '처', '연한', '표정', 'ㅠㅠ', '넘', '나잘해', 'ㅠㅠ']"
13,1, 드라마 니 김우진 한테 부인 있는 게 아니고 애가 둘 있는 건 나오네  너무 무책임하다 ,"['드라마', '니', '김우진', '한테', '부인', '있는', '게', '아니고', '애가', '둘', '있는', '건', '나오네', '너무', '무책임하다']"
14,0, 이종석 참 매력 있네요 어쩜 저리 연기 잘 하는지  ,"['이종석', '참', '매력', '있네요', '어쩜', '저리', '연기', '잘', '하는지']"
